City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Windspeed,Country,Date
83,sainyabuli,19.25,101.75,76.23,87,100,3.09,LA,1689600444
84,el granada,37.5027,-122.4694,67.28,86,0,9.22,US,1689600445
85,port elizabeth,-33.918,25.5701,69.1,68,0,13.8,ZA,1689600037
86,sao martinho,39.5144,-9.1311,82.89,75,1,11.99,PT,1689600447
87,martapura,-3.4167,114.85,78.89,89,20,5.75,ID,1689600447
88,brassall,-27.5975,152.7475,60.58,58,75,5.75,AU,1689600448
89,hopelchen,19.7667,-89.85,79.05,83,35,4.43,MX,1689600448
90,kedrovka,55.5333,86.05,70.68,79,24,5.57,RU,1689600449
91,pisco,-13.7,-76.2167,66.25,72,100,8.05,PE,1689600449
92,georgetown,5.4112,100.3354,85.95,76,20,2.3,MY,1689599954
93,stanley,54.868,-1.6985,67.28,55,54,16.37,GB,1689599995
94,lepsy,46.235,78.9456,92.79,15,0,12.15,KZ,1689600451
95,morden,49.1919,-98.1014,58.86,72,97,8.05,CA,1689600451
96,nova olimpia,-14.7972,-57.2881,82.33,36,6,2.42,BR,1689600453
97,grabouw,-34.1515,19.0151,68.49,66,76,7.52,ZA,1689600453
98,aasiaat,68.7098,-52.8699,37.18,96,100,5.3,GL,1689600058
99,kuressaare,58.2481,22.5039,75.02,57,0,10.36,EE,1689600454
100,wailua homesteads,22.0669,-159.378,79.59,84,40,14.97,US,1689600051
101,el calafate,-50.3408,-72.2768,22.21,70,2,2.71,AR,1689600456
102,shenjiamen,29.9576,122.298,79.38,92,100,7.7,CN,1689600456
103,flin flon,54.7682,-101.865,58.84,72,20,3.44,CA,1689600457
104,alpine,32.835,-116.7664,74.08,75,0,0.0,US,1689600457
105,panama city beach,30.1766,-85.8055,82.06,85,0,3.44,US,1689600369
106,nuuk,64.1835,-51.7216,48.81,93,100,35.99,GL,1689599987
107,uturoa,-16.7333,-151.4333,77.58,69,6,10.63,PF,1689600459
108,beroroha,-21.6667,45.1667,87.15,23,0,3.42,MG,1689600459
109,balqash,46.8481,74.995,93.79,15,0,8.95,KZ,1689600460
110,fale old settlement,-9.3852,-171.2468,83.5,75,100,14.03,TK,1689600222
111,dudinka,69.4058,86.1778,51.62,78,99,12.15,RU,1689600247
112,jarwal,27.1667,81.55,91.85,58,100,5.03,IN,1689600462
113,funafuti,-8.5243,179.1942,84.2,79,75,4.61,TV,1689600462
114,kijang,35.2442,129.2139,78.53,95,100,4.61,KR,1689600463
115,tweed heads,-28.1817,153.547,61.21,94,100,5.75,AU,1689600463
116,east ballina,-28.8667,153.5833,56.8,84,79,3.8,AU,1689600464
117,ramachandrapuram,16.85,82.0167,84.61,80,100,13.76,IN,1689600464
118,kuala kedah,6.1,100.3,82.38,83,20,2.3,MY,1689600465
119,rosarito,32.3333,-117.0333,67.48,84,61,4.0,MX,1689600466
120,labrador city,52.9463,-66.9114,66.11,100,100,6.91,CA,1689600284
121,caerleon,51.6095,-2.9538,70.18,62,21,16.69,GB,1689600467
122,bilibino,68.0546,166.4372,65.73,52,100,2.17,RU,1689600467
123,suntar,62.1444,117.6319,60.12,98,100,3.06,RU,1689600468
124,york,40.1254,-77.0,79.81,72,0,0.0,US,1689600320
125,genhe,50.7833,121.5167,67.78,62,13,2.91,CN,1689600469
